02-08-2017;3021;11697;8,64;33;464;423;53;16;1908
03-08-2017;2788;12388;9,15;58;647;284;34;24;1499
04-08-2017;2854;14691;10,86;91;480;322;69;24;1651
05-08-2017;3130;18434;13,62;79;508;320;68;45;1949
06-08-2017;2378;5770;4,26;21;674;258;3;17;1014
07-08-2017;2797;9392;6,94;23;629;332;20;23;1547
08-08-2017;2655;9802;7,24;29;688;283;5;15;1320
09-08-2017;2630;10770;7,96;33;698;248;23;25;1287
10-08-2017;2590;10666;7,88;38;752;225;34;30;1239
11-08-2017;2513;10270;7,59;49;783;183;33;32;1114
12-08-2017;2930;12637;9,34;52;480;372;66;13;1769
13-08-2017;3102;16612;12,5;80;473;356;39;53;1938
14-08-2017;2701;10226;7,56;79;746;226;44;36;1370
15-08-2017;2515;9296;6,87;53;750;186;36;30;1121
16-08-2017;2294;6447;4,79;23;825;161;3;18;818
17-08-2017;2665;10558;7,8;23;675;236;36;23;1321
18-08-2017;2491;8255;6,15;44;680;220;18;18;1101
19-08-2017;2639;11657;8,67;34;711;180;35;42;1250
20-08-2017;2711;10749;8,14;47;578;250;36;34;1395
21-08-2017;2574;10691;7,95;32;790;218;38;17;1204
22-08-2017;2509;10692;7,9;26;795;201;40;15;1120
23-08-2017;2491;10202;7,68;27;800;198;42;14;1099
24-08-2017;2521;10129;7,49;31;749;215;34;14;1140
25-08-2017;2355;6985;5,16;24;809;205;17;6;932
26-08-2017;2514;8428;6,23;27;601;298;25;8;1212
27-08-2017;3221;13951;10,31;34;365;376;83;41;2116
28-08-2017;2505;10186;7,53;28;707;221;49;5;1138
29-08-2017;2399;7663;5,66;25;712;228;18;7;1006
30-08-2017;2495;10325;7,63;32;748;196;41;17;1103
31-08-2017;2345;8022;5,93;25;762;193;29;2;918
01-09-2017;2389;6410;4,74;19;747;258;17;1;1023
02-09-2017;2997;13082;9,67;29;550;305;64;37;1783
03-09-2017;2480;8145;6,02;45;648;253;35;14;1142
04-09-2017;2397;8342;6,16;31;745;187;23;17;973
05-09-2017;2325;6718;4,99;25;791;183;14;5;872
06-09-2017;2378;7665;5,66;38;767;189;22;6;942
07-09-2017;2236;4771;3,53;12;833;175;10;9;773
08-09-2017;2549;10337;7,64;48;783;197;40;17;1157
09-09-2017;2554;11529;8,9;60;665;195;7;64;1174
10-09-2017;2640;10757;8;49;553;254;37;31;1328
11-09-2017;2520;10578;7,82;38;768;214;38;8;1135
12-09-2017;2316;8330;6,16;23;793;138;50;5;852
13-09-2017;2627;10803;7,98;42;658;249;46;15;1301
14-09-2017;2528;10465;7,73;46;765;201;40;13;1136
15-09-2017;2213;4351;3,22;9;850;193;0;0;750
16-09-2017;2661;10575;7,81;47;660;298;53;11;1396
17-09-2017;3355;18682;13,95;74;309;334;79;87;2249
18-09-2017;2531;10668;7,88;42;651;210;47;13;1157
19-09-2017;2353;7541;5,57;8;780;165;34;15;914
20-09-2017;2542;10318;8,32;38;736;194;8;43;1140
21-09-2017;2619;11217;8,29;35;672;229;29;20;1255
22-09-2017;2375;6072;4,49;9;861;189;21;9;942
23-09-2017;2933;14779;10,92;49;576;274;49;62;1695
24-09-2017;3182;14593;11,37;60;504;270;81;75;1992
25-09-2017;2503;10970;8,11;25;701;204;43;21;1127
26-09-2017;2491;9538;7,56;20;736;208;14;29;1096
27-09-2017;2587;11130;8,23;24;691;224;8;38;1214
28-09-2017;2959;16437;12,29;57;719;220;6;93;1643
29-09-2017;2088;4732;3,5;9;908;129;8;0;555
30-09-2017;2898;10523;7,78;45;560;290;83;25;1675
01-10-2017;2911;9428;6,97;54;511;242;121;23;1669
02-10-2017;1991;4023;3,4;12;948;38;2;27;380
03-10-2017;2408;8045;5,95;18;783;215;5;19;998
04-10-2017;2472;9397;7,38;14;756;205;8;29;1066
05-10-2017;2641;12765;10,01;25;751;192;28;40;1256
06-10-2017;2418;8888;6,64;17;842;187;3;24;979
